filename,width,height,class,xmin,ymin,xmax,ymax
006.jpg,1024,1024,scratch_neck,390,579,643,849
012.jpg,1024,1024,scratch_neck,345,386,577,607
001.jpg,1024,1024,scratch_neck,277,334,475,547
016.jpg,1024,1024,scratch_neck,398,554,592,713
004.jpg,1024,1024,scratch_neck,594,417,771,596
005.jpg,1024,1024,scratch_neck,507,492,758,715
015.jpg,1024,1024,scratch_neck,437,545,639,728
009.jpg,1024,1024,scratch_neck,264,417,460,615
014.jpg,1024,1024,scratch_neck,605,443,773,639
020.jpg,1024,1024,scratch_neck,273,320,556,545
008.jpg,1024,1024,scratch_neck,234,413,466,628
002.jpg,1024,1024,scratch_neck,351,400,545,592
022.jpg,1024,1024,scratch_neck,360,528,579,709
013.jpg,1024,1024,scratch_neck,551,432,739,622
000.jpg,1024,1024,scratch_neck,198,307,428,554
018.jpg,1024,1024,scratch_neck,277,432,492,596
021.jpg,1024,1024,scratch_neck,443,451,654,654
010.jpg,1024,1024,scratch_neck,373,386,581,547
023.jpg,1024,1024,scratch_neck,323,324,520,496
011.jpg,1024,1024,scratch_neck,417,343,594,520
024.jpg,1024,1024,scratch_neck,249,415,458,620
019.jpg,1024,1024,scratch_neck,505,386,720,586
017.jpg,1024,1024,scratch_neck,351,369,532,569
003.jpg,1024,1024,scratch_neck,381,266,581,434
007.jpg,1024,1024,scratch_neck,407,603,620,786
