filename,width,height,class,xmin,ymin,xmax,ymax
006.jpg,1024,1024,manipulated_front,100,754,251,905
012.jpg,1024,1024,manipulated_front,356,828,528,981
001.jpg,1024,1024,manipulated_front,734,779,892,917
016.jpg,1024,1024,manipulated_front,322,751,517,996
004.jpg,1024,1024,manipulated_front,713,66,862,232
005.jpg,1024,1024,manipulated_front,590,851,775,983
015.jpg,1024,1024,manipulated_front,28,513,200,660
009.jpg,1024,1024,manipulated_front,105,730,264,890
014.jpg,1024,1024,manipulated_front,149,79,337,243
020.jpg,1024,1024,manipulated_front,117,749,317,930
008.jpg,1024,1024,manipulated_front,322,24,511,188
002.jpg,1024,1024,manipulated_front,422,858,568,975
022.jpg,1024,1024,manipulated_front,179,62,368,217
013.jpg,1024,1024,manipulated_front,732,783,945,939
000.jpg,1024,1024,manipulated_front,166,792,303,907
018.jpg,1024,1024,manipulated_front,817,473,1000,647
021.jpg,1024,1024,manipulated_front,768,171,966,349
010.jpg,1024,1024,manipulated_front,337,837,532,1003
023.jpg,1024,1024,manipulated_front,22,558,230,745
011.jpg,1024,1024,manipulated_front,847,222,990,375
019.jpg,1024,1024,manipulated_front,22,422,230,615
017.jpg,1024,1024,manipulated_front,807,203,971,379
003.jpg,1024,1024,manipulated_front,47,264,213,409
007.jpg,1024,1024,manipulated_front,60,656,226,811
