filename,width,height,class,xmin,ymin,xmax,ymax
006.jpg,1024,1024,thread_top,192,569,464,813
012.jpg,1024,1024,thread_top,251,239,503,420
001.jpg,1024,1024,thread_top,490,326,722,520
016.jpg,1024,1024,thread_top,511,86,756,303
004.jpg,1024,1024,thread_top,547,466,751,671
005.jpg,1024,1024,thread_top,420,424,728,632
015.jpg,1024,1024,thread_top,324,394,579,598
009.jpg,1024,1024,thread_top,164,205,383,398
014.jpg,1024,1024,thread_top,560,498,771,749
020.jpg,1024,1024,thread_top,415,160,732,362
008.jpg,1024,1024,thread_top,456,564,707,790
002.jpg,1024,1024,thread_top,232,522,500,777
022.jpg,1024,1024,thread_top,96,726,388,943
013.jpg,1024,1024,thread_top,345,560,562,781
000.jpg,1024,1024,thread_top,158,209,407,449
018.jpg,1024,1024,thread_top,428,464,730,681
021.jpg,1024,1024,thread_top,609,549,826,764
010.jpg,1024,1024,thread_top,230,247,483,498
011.jpg,1024,1024,thread_top,271,490,520,732
019.jpg,1024,1024,thread_top,483,630,737,843
017.jpg,1024,1024,thread_top,203,328,398,528
003.jpg,1024,1024,thread_top,200,679,432,871
007.jpg,1024,1024,thread_top,437,417,705,615
