filename,width,height,class,xmin,ymin,xmax,ymax
006.jpg,1024,1024,scratch_head,222,739,460,911
012.jpg,1024,1024,scratch_head,175,141,403,307
001.jpg,1024,1024,scratch_head,839,471,973,624
016.jpg,1024,1024,scratch_head,781,517,975,711
004.jpg,1024,1024,scratch_head,630,143,822,324
005.jpg,1024,1024,scratch_head,800,503,985,658
015.jpg,1024,1024,scratch_head,345,54,543,228
009.jpg,1024,1024,scratch_head,375,28,594,175
014.jpg,1024,1024,scratch_head,45,334,211,515
020.jpg,1024,1024,scratch_head,30,360,228,562
008.jpg,1024,1024,scratch_head,145,200,324,386
002.jpg,1024,1024,scratch_head,203,166,375,315
022.jpg,1024,1024,scratch_head,24,334,192,505
013.jpg,1024,1024,scratch_head,230,747,443,913
000.jpg,1024,1024,scratch_head,183,175,379,300
018.jpg,1024,1024,scratch_head,383,820,628,1013
021.jpg,1024,1024,scratch_head,809,330,1003,534
010.jpg,1024,1024,scratch_head,766,249,947,430
023.jpg,1024,1024,scratch_head,247,745,462,949
011.jpg,1024,1024,scratch_head,798,494,979,679
019.jpg,1024,1024,scratch_head,190,720,411,900
017.jpg,1024,1024,scratch_head,349,43,522,209
003.jpg,1024,1024,scratch_head,528,64,715,213
007.jpg,1024,1024,scratch_head,24,403,192,579
