filename,width,height,class,xmin,ymin,xmax,ymax
006.jpg,1024,1024,thread_side,517,434,728,649
012.jpg,1024,1024,thread_side,230,639,462,796
001.jpg,1024,1024,thread_side,524,426,732,579
016.jpg,1024,1024,thread_side,515,288,768,469
004.jpg,1024,1024,thread_side,681,234,847,430
005.jpg,1024,1024,thread_side,590,502,773,683
015.jpg,1024,1024,thread_side,413,309,634,486
009.jpg,1024,1024,thread_side,600,313,807,520
014.jpg,1024,1024,thread_side,598,562,822,739
020.jpg,1024,1024,thread_side,241,632,454,813
008.jpg,1024,1024,thread_side,451,432,662,611
002.jpg,1024,1024,thread_side,477,613,660,764
022.jpg,1024,1024,thread_side,156,462,377,683
013.jpg,1024,1024,thread_side,385,560,581,739
000.jpg,1024,1024,thread_side,549,294,715,458
018.jpg,1024,1024,thread_side,303,211,545,405
021.jpg,1024,1024,thread_side,671,562,879,737
010.jpg,1024,1024,thread_side,585,396,775,569
011.jpg,1024,1024,thread_side,249,324,428,503
019.jpg,1024,1024,thread_side,100,188,317,354
017.jpg,1024,1024,thread_side,460,177,656,364
003.jpg,1024,1024,thread_side,281,573,481,705
007.jpg,1024,1024,thread_side,256,209,439,386
