filename,width,height,class,xmin,ymin,xmax,ymax
006.jpg,1024,1024,thread_side,122,132,915,898
012.jpg,1024,1024,thread_side,66,209,958,824
001.jpg,1024,1024,thread_side,30,324,985,688
016.jpg,1024,1024,thread_side,37,326,985,692
004.jpg,1024,1024,thread_side,124,115,900,892
005.jpg,1024,1024,thread_side,111,149,926,898
015.jpg,1024,1024,thread_side,45,237,996,754
009.jpg,1024,1024,thread_side,111,100,905,903
014.jpg,1024,1024,thread_side,211,47,813,956
020.jpg,1024,1024,thread_side,83,151,924,869
008.jpg,1024,1024,thread_side,62,211,975,824
002.jpg,1024,1024,thread_side,275,49,775,983
022.jpg,1024,1024,thread_side,39,343,994,692
013.jpg,1024,1024,thread_side,205,79,834,943
000.jpg,1024,1024,thread_side,328,34,709,983
018.jpg,1024,1024,thread_side,165,72,851,939
021.jpg,1024,1024,thread_side,88,158,932,875
010.jpg,1024,1024,thread_side,32,356,988,688
011.jpg,1024,1024,thread_side,45,234,977,762
019.jpg,1024,1024,thread_side,109,126,911,905
017.jpg,1024,1024,thread_side,283,26,715,992
003.jpg,1024,1024,thread_side,34,343,994,713
007.jpg,1024,1024,thread_side,77,145,941,858
